14:57:06.778 [main] DEBUG o.j.logging - Logging Provider: org.jboss.logging.Slf4jLoggerProvider
14:57:06.868 [main] DEBUG o.h.j.HibernatePersistenceProvider - Located and parsed 1 persistence units; checking each
14:57:06.868 [main] DEBUG o.h.j.HibernatePersistenceProvider - Checking persistence-unit [name=persistence-test, explicit-provider=org.hibernate.ejb.HibernatePersistence] against incoming persistence unit name [persistence-test]
14:57:06.869 [main] DEBUG o.h.j.b.s.ProviderChecker - Persistence-unit [persistence-test] requested PersistenceProvider [org.hibernate.ejb.HibernatePersistence]
14:57:06.870 [main] WARN  o.h.j.b.s.ProviderChecker - HHH015016: Encountered a deprecated javax.persistence.spi.PersistenceProvider [org.hibernate.ejb.HibernatePersistence]; [org.hibernate.jpa.HibernatePersistenceProvider] will be used instead.
14:57:06.879 [main] DEBUG o.h.j.i.u.LogHelper - PersistenceUnitInfo [
	name: persistence-test
	persistence provider classname: org.hibernate.ejb.HibernatePersistence
	classloader: null
	excludeUnlistedClasses: false
	JTA datasource: null
	Non JTA datasource: null
	Transaction type: RESOURCE_LOCAL
	PU root URL: file:/C:/Users/nazar/OneDrive/%d0%94%d0%be%d0%ba%d1%83%d0%bc%d0%b5%d0%bd%d1%82%d1%8b/Java%20Projects/Hibernate/target/classes
	Shared Cache Mode: null
	Validation Mode: null
	Jar files URLs []
	Managed classes names []
	Mapping files names []
	Properties [
		hibernate.connection.username: postgres
		hibernate.connection.password: Nazar19971
		hibernate.connection.pool_size: 1
		hibernate.dialect: org.hibernate.dialect.PostgreSQL9Dialect
		hibernate.connection.url: jdbc:postgresql://localhost:5432/postgres
		hibernate.show_sql: true
		hibernate.connection.driver_class: org.postgresql.Driver
		hibernate.current_session_context_class: thread]
14:57:06.884 [main] DEBUG o.h.i.i.IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
14:57:06.886 [main] DEBUG o.h.i.i.IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
14:57:06.890 [main] DEBUG o.h.i.i.IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
14:57:07.003 [main] INFO  o.h.Version - HHH000412: Hibernate Core {5.4.10.Final}
14:57:07.004 [main] DEBUG o.h.c.Environment - HHH000206: hibernate.properties not found
14:57:07.130 [main] DEBUG o.h.s.s.ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
14:57:07.143 [main] DEBUG o.h.c.i.RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
14:57:07.144 [main] DEBUG o.h.c.i.RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
14:57:07.164 [main] INFO  o.h.a.c.Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
14:57:07.330 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@45c7e403
14:57:07.330 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@45c7e403
14:57:07.330 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@45c7e403
14:57:07.331 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@61322f9d
14:57:07.331 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@61322f9d
14:57:07.331 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@61322f9d
14:57:07.333 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@2362f559
14:57:07.333 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@2362f559
14:57:07.334 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@544fa968
14:57:07.335 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@544fa968
14:57:07.336 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@24313fcc
14:57:07.336 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@24313fcc
14:57:07.337 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@41a2befb
14:57:07.338 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@131ef10
14:57:07.339 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@70325e14
14:57:07.339 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@70325e14
14:57:07.341 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@2002fc1d
14:57:07.341 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@2002fc1d
14:57:07.375 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@58a9760d
14:57:07.376 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@58a9760d
14:57:07.378 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@65d09a04
14:57:07.378 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@65d09a04
14:57:07.379 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@6a2f6f80
14:57:07.379 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@6a2f6f80
14:57:07.385 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@5b94b04d
14:57:07.385 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@5b94b04d
14:57:07.386 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@1f59a598
14:57:07.388 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@1f59a598
14:57:07.391 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@561b6512
14:57:07.391 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@561b6512
14:57:07.394 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@6ab778a
14:57:07.394 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@6ab778a
14:57:07.396 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration date -> org.hibernate.type.DateType@38e79ae3
14:57:07.396 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration java.sql.Date -> org.hibernate.type.DateType@38e79ae3
14:57:07.398 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration time -> org.hibernate.type.TimeType@762ef0ea
14:57:07.398 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@762ef0ea
14:57:07.399 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration timestamp -> org.hibernate.type.TimestampType@6db9f5a4
14:57:07.399 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@6db9f5a4
14:57:07.400 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@6db9f5a4
14:57:07.403 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@1ebd319f
14:57:07.404 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration calendar -> org.hibernate.type.CalendarType@6e509ffa
14:57:07.404 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@6e509ffa
14:57:07.405 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@6e509ffa
14:57:07.405 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@68267da0
14:57:07.406 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration locale -> org.hibernate.type.LocaleType@2f465398
14:57:07.406 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@2f465398
14:57:07.407 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration currency -> org.hibernate.type.CurrencyType@3098cf3b
14:57:07.407 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@3098cf3b
14:57:07.408 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration timezone -> org.hibernate.type.TimeZoneType@5609159b
14:57:07.408 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@5609159b
14:57:07.409 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration class -> org.hibernate.type.ClassType@11fc564b
14:57:07.410 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration java.lang.Class -> org.hibernate.type.ClassType@11fc564b
14:57:07.411 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@672872e1
14:57:07.411 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@672872e1
14:57:07.412 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@2b4bac49
14:57:07.413 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration binary -> org.hibernate.type.BinaryType@4470f8a6
14:57:07.413 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration byte[] -> org.hibernate.type.BinaryType@4470f8a6
14:57:07.413 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration [B -> org.hibernate.type.BinaryType@4470f8a6
14:57:07.414 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration wrapper-binary -> org.hibernate.type.WrapperBinaryType@55740540
14:57:07.415 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration Byte[] -> org.hibernate.type.WrapperBinaryType@55740540
14:57:07.415 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration [Ljava.lang.Byte; -> org.hibernate.type.WrapperBinaryType@55740540
14:57:07.416 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration row_version -> org.hibernate.type.RowVersionType@f2ff811
14:57:07.416 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration image -> org.hibernate.type.ImageType@2a266d09
14:57:07.418 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration characters -> org.hibernate.type.CharArrayType@11c9af63
14:57:07.418 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration char[] -> org.hibernate.type.CharArrayType@11c9af63
14:57:07.418 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration [C -> org.hibernate.type.CharArrayType@11c9af63
14:57:07.420 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration wrapper-characters -> org.hibernate.type.CharacterArrayType@28975c28
14:57:07.420 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration [Ljava.lang.Character; -> org.hibernate.type.CharacterArrayType@28975c28
14:57:07.420 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration Character[] -> org.hibernate.type.CharacterArrayType@28975c28
14:57:07.420 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration text -> org.hibernate.type.TextType@157853da
14:57:07.421 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration ntext -> org.hibernate.type.NTextType@3cc1435c
14:57:07.422 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration blob -> org.hibernate.type.BlobType@671a5887
14:57:07.422 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration java.sql.Blob -> org.hibernate.type.BlobType@671a5887
14:57:07.422 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration materialized_blob -> org.hibernate.type.MaterializedBlobType@609db43b
14:57:07.429 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration clob -> org.hibernate.type.ClobType@53aad5d5
14:57:07.429 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration java.sql.Clob -> org.hibernate.type.ClobType@53aad5d5
14:57:07.431 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration nclob -> org.hibernate.type.NClobType@8317c52
14:57:07.433 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration java.sql.NClob -> org.hibernate.type.NClobType@8317c52
14:57:07.433 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration materialized_clob -> org.hibernate.type.MaterializedClobType@6f27a732
14:57:07.434 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration materialized_nclob -> org.hibernate.type.MaterializedNClobType@2cdd0d4b
14:57:07.435 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration serializable -> org.hibernate.type.SerializableType@44a7bfbc
14:57:07.439 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration object -> org.hibernate.type.ObjectType@13b13b5d
14:57:07.439 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration java.lang.Object -> org.hibernate.type.ObjectType@13b13b5d
14:57:07.440 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration imm_date -> org.hibernate.type.AdaptedImmutableType@29647f75
14:57:07.440 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration imm_time -> org.hibernate.type.AdaptedImmutableType@3315d2d7
14:57:07.440 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration imm_timestamp -> org.hibernate.type.AdaptedImmutableType@d6e7bab
14:57:07.440 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration imm_dbtimestamp -> org.hibernate.type.AdaptedImmutableType@5fa07e12
14:57:07.440 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration imm_calendar -> org.hibernate.type.AdaptedImmutableType@55b53d44
14:57:07.440 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration imm_calendar_date -> org.hibernate.type.AdaptedImmutableType@482bce4f
14:57:07.440 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration imm_binary -> org.hibernate.type.AdaptedImmutableType@366647c2
14:57:07.440 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration imm_serializable -> org.hibernate.type.AdaptedImmutableType@6a6afff2
14:57:07.450 [main] DEBUG o.h.b.i.BootstrapContextImpl - Injecting ScanEnvironment [org.hibernate.jpa.boot.internal.StandardJpaScanEnvironmentImpl@be35cd9] into BootstrapContext; was [null]
14:57:07.451 [main] DEBUG o.h.b.i.BootstrapContextImpl - Injecting ScanOptions [org.hibernate.boot.archive.scan.internal.StandardScanOptions@4944252c] into BootstrapContext; was [org.hibernate.boot.archive.scan.internal.StandardScanOptions@44821a96]
14:57:07.549 [main] DEBUG o.h.b.i.BootstrapContextImpl - Injecting JPA temp ClassLoader [null] into BootstrapContext; was [null]
14:57:07.549 [main] DEBUG o.h.b.i.ClassLoaderAccessImpl - ClassLoaderAccessImpl#injectTempClassLoader(null) [was null]
14:57:07.562 [main] DEBUG o.h.i.f.i.DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [uuid2] -> [org.hibernate.id.UUIDGenerator]
14:57:07.562 [main] DEBUG o.h.i.f.i.DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [guid] -> [org.hibernate.id.GUIDGenerator]
14:57:07.563 [main] DEBUG o.h.i.f.i.DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [uuid] -> [org.hibernate.id.UUIDHexGenerator]
14:57:07.563 [main] DEBUG o.h.i.f.i.DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [uuid.hex] -> [org.hibernate.id.UUIDHexGenerator]
14:57:07.563 [main] DEBUG o.h.i.f.i.DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [assigned] -> [org.hibernate.id.Assigned]
14:57:07.564 [main] DEBUG o.h.i.f.i.DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [identity] -> [org.hibernate.id.IdentityGenerator]
14:57:07.565 [main] DEBUG o.h.i.f.i.DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [select] -> [org.hibernate.id.SelectGenerator]
14:57:07.566 [main] DEBUG o.h.i.f.i.DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [sequence] -> [org.hibernate.id.enhanced.SequenceStyleGenerator]
14:57:07.567 [main] DEBUG o.h.i.f.i.DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [seqhilo] -> [org.hibernate.id.SequenceHiLoGenerator]
14:57:07.568 [main] DEBUG o.h.i.f.i.DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [increment] -> [org.hibernate.id.IncrementGenerator]
14:57:07.569 [main] DEBUG o.h.i.f.i.DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [foreign] -> [org.hibernate.id.ForeignGenerator]
14:57:07.569 [main] DEBUG o.h.i.f.i.DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [sequence-identity] -> [org.hibernate.id.SequenceIdentityGenerator]
14:57:07.569 [main] DEBUG o.h.i.f.i.DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [enhanced-sequence] -> [org.hibernate.id.enhanced.SequenceStyleGenerator]
14:57:07.570 [main] DEBUG o.h.i.f.i.DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [enhanced-table] -> [org.hibernate.id.enhanced.TableGenerator]
14:57:07.576 [main] WARN  o.h.o.c.pooling - HHH10001002: Using Hibernate built-in connection pool (not for production use!)
14:57:07.582 [main] INFO  o.h.o.c.pooling - HHH10001005: using driver [org.postgresql.Driver] at URL [jdbc:postgresql://localhost:5432/postgres]
14:57:07.582 [main] INFO  o.h.o.c.pooling - HHH10001001: Connection properties: {user=postgres, password=Nazar19971}
14:57:07.582 [main] INFO  o.h.o.c.pooling - HHH10001003: Autocommit mode: false
14:57:07.585 [main] DEBUG o.h.e.j.c.i.DriverManagerConnectionProviderImpl - Initializing Connection pool with 1 Connections
14:57:07.585 [main] INFO  o.h.e.j.c.i.DriverManagerConnectionProviderImpl - HHH000115: Hibernate connection pool size: 1 (min=1)
14:57:07.658 [main] WARN  o.h.e.j.e.i.JdbcEnvironmentInitiator - HHH000342: Could not obtain connection to query metadata : null
14:57:07.670 [main] INFO  o.h.d.Dialect - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQL9Dialect
14:57:07.687 [main] DEBUG o.h.e.j.e.s.IdentifierHelperBuilder - IdentifierCaseStrategy for both quoted and unquoted identifiers was set to the same strategy [MIXED]; that will likely lead to problems in schema update and validation if using quoted identifiers
14:57:07.691 [main] DEBUG o.h.e.j.e.i.LobCreatorBuilderImpl - HHH000422: Disabling contextual LOB creation as connection was null
14:57:07.694 [main] DEBUG o.h.e.j.s.SqlExceptionHelper - Error calling Driver#connect [null]
org.postgresql.util.PSQLException: �����: ������������ "postgres" �� ������ �������� ����������� (�� ������)
	at org.postgresql.core.v3.ConnectionFactoryImpl.doAuthentication(ConnectionFactoryImpl.java:293)
	at org.postgresql.core.v3.ConnectionFactoryImpl.openConnectionImpl(ConnectionFactoryImpl.java:108)
	at org.postgresql.core.ConnectionFactory.openConnection(ConnectionFactory.java:66)
	at org.postgresql.jdbc2.AbstractJdbc2Connection.<init>(AbstractJdbc2Connection.java:125)
	at org.postgresql.jdbc3.AbstractJdbc3Connection.<init>(AbstractJdbc3Connection.java:30)
	at org.postgresql.jdbc3g.AbstractJdbc3gConnection.<init>(AbstractJdbc3gConnection.java:22)
	at org.postgresql.jdbc4.AbstractJdbc4Connection.<init>(AbstractJdbc4Connection.java:32)
	at org.postgresql.jdbc4.Jdbc4Connection.<init>(Jdbc4Connection.java:24)
	at org.postgresql.Driver.makeConnection(Driver.java:393)
	at org.postgresql.Driver.connect(Driver.java:267)
	at org.hibernate.engine.jdbc.connections.internal.DriverConnectionCreator.makeConnection(DriverConnectionCreator.java:38)
	at org.hibernate.engine.jdbc.connections.internal.BasicConnectionCreator.createConnection(BasicConnectionCreator.java:58)
	at org.hibernate.engine.jdbc.connections.internal.DriverManagerConnectionProviderImpl$PooledConnections.addConnections(DriverManagerConnectionProviderImpl.java:331)
	at org.hibernate.engine.jdbc.connections.internal.DriverManagerConnectionProviderImpl$PooledConnections.<init>(DriverManagerConnectionProviderImpl.java:250)
	at org.hibernate.engine.jdbc.connections.internal.DriverManagerConnectionProviderImpl$PooledConnections.<init>(DriverManagerConnectionProviderImpl.java:228)
	at org.hibernate.engine.jdbc.connections.internal.DriverManagerConnectionProviderImpl$PooledConnections$Builder.build(DriverManagerConnectionProviderImpl.java:369)
	at org.hibernate.engine.jdbc.connections.internal.DriverManagerConnectionProviderImpl.buildPool(DriverManagerConnectionProviderImpl.java:98)
	at org.hibernate.engine.jdbc.connections.internal.DriverManagerConnectionProviderImpl.configure(DriverManagerConnectionProviderImpl.java:73)
	at org.hibernate.boot.registry.internal.StandardServiceRegistryImpl.configureService(StandardServiceRegistryImpl.java:107)
	at org.hibernate.service.internal.AbstractServiceRegistryImpl.initializeService(AbstractServiceRegistryImpl.java:246)
